"id","unidade","turma","idade","sexo","peso","altura"
"1","Aldeia","enm1at","15","F","45","1.59"
"2","Aldeia","enm1at","15","F","55","1.58"
"3","Aldeia","enm1at","15","M","",""
"4","Aldeia","enm1at","15","F","70.7","1.67"
"5","Aldeia","enm1at","15","M","41.5","1.58"
"6","Aldeia","enm1at","15","M","",""
"7","Aldeia","enm1at","15","M","67","1.74"
"8","Aldeia","enm1at","15","M","52","1.77"
"9","Aldeia","enm1at","15","F","64.8","1.62"
"10","Aldeia","enm1at","15","F","65.6","1.74"
"11","Aldeia","enm1at","15","M","66","1.76"
"12","Aldeia","enm1at","16","M","67.7","1.67"
"13","Aldeia","enm1at","15","F","42.7","1.57"
"14","Aldeia","enm1at","15","F","50.2","1.55"
"15","Aldeia","enm1at","15","M","48.3","1.61"
"16","Aldeia","enm1at","15","F","55.9","1.62"
"17","Aldeia","enm1at","15","F","64.1","1.53"
"18","Aldeia","enm1at","14","F","57.1","1.66"
"19","Aldeia","enm1at","14","F","61.6","1.68"
"20","Aldeia","enm1at","15","F","47.8","1.55"
"21","Aldeia","enm1at","15","F","47.2","1.57"
"22","Aldeia","enm1at","15","F","60.6","1.69"
"23","Aldeia","enm1at","15","F","49.1","1.61"
"24","Aldeia","enm1at","14","M","58.3","1.73"
"25","Aldeia","enm1at","15","M","78.3","1.7"
"26","Aldeia","enm1at","15","M","",""
"27","Aldeia","enm1at","15","F","61.3","1.58"
"28","Aldeia","enm1at","14","F","57.4","1.58"
"29","Aldeia","enm1at","15","F","48","1.67"
"30","Aldeia","enm1bt","15","F","43.4","1.54"
"31","Aldeia","enm1bt","15","F","59.1","1.61"
"32","Aldeia","enm1bt","16","F","47.1","1.48"
"33","Aldeia","enm1bt","15","F","38.3","1.48"
"34","Aldeia","enm1bt","14","M","64.7","1.73"
"35","Aldeia","enm1bt","15","F","45","1.53"
"36","Aldeia","enm1bt","15","M","",""
"37","Aldeia","enm1bt","15","M","43","1.74"
"38","Aldeia","enm1bt","15","F","",""
"39","Aldeia","enm1bt","14","M","46.5","1.54"
"40","Aldeia","enm1bt","15","F","",""
"41","Aldeia","enm1bt","15","F","43.5","1.57"
"42","Aldeia","enm1bt","15","F","59.3","1.66"
"43","Aldeia","enm1bt","15","F","58.1","1.7"
"44","Aldeia","enm1bt","15","F","58.1","1.61"
"45","Aldeia","enm1bt","16","F","52.1","1.65"
"46","Aldeia","enm1bt","15","M","74.3","1.85"
"47","Aldeia","enm1bt","15","F","54.5","1.66"
"48","Aldeia","enm1bt","15","F","57.6","1.61"
"49","Aldeia","enm1bt","15","F","42.3","1.58"
"50","Aldeia","enm1bt","15","M","50.7","1.68"
"51","Aldeia","enm1bt","15","M","53.9","1.72"
"52","Aldeia","enm1bt","15","M","58.4","1.65"
"53","Aldeia","enm1bt","15","F","61.4","1.61"
"54","Aldeia","enm1bt","15","M","80.1","1.82"
"55","Aldeia","enm1bt","15","M","48.4","1.69"
"56","Aldeia","enm1bt","15","F","83.3","1.66"
"57","Aldeia","enm1bt","15","M","49","1.59"
"58","Aldeia","enm1bt","15","M","85","1.79"
"59","Aldeia","enm1ct","15","M","64.6","1.79"
"60","Aldeia","enm1ct","15","M","67.3","1.73"
"61","Aldeia","enm1ct","14","F","45.1","1.54"
"62","Aldeia","enm1ct","14","M","",""
"63","Aldeia","enm1ct","15","F","41.9","1.64"
"64","Aldeia","enm1ct","15","F","35","1.51"
"65","Aldeia","enm1ct","15","M","",""
"66","Aldeia","enm1ct","15","M","66.6","1.7"
"67","Aldeia","enm1ct","15","M","68.2","1.72"
"68","Aldeia","enm1ct","15","F","",""
"69","Aldeia","enm1ct","14","F","70.5","1.62"
"70","Aldeia","enm1ct","15","M","45.7","1.61"
"71","Aldeia","enm1ct","14","M","",""
"72","Aldeia","enm1ct","15","F","65.1","1.63"
"73","Aldeia","enm1ct","15","F","51.5","1.74"
"74","Aldeia","enm1ct","15","M","66.1","1.75"
"75","Aldeia","enm1ct","15","M","72.4","1.77"
"76","Aldeia","enm1ct","15","F","59.8","1.69"
"77","Aldeia","enm1ct","15","F","39.8","1.56"
"78","Aldeia","enm1ct","15","F","48.7","1.57"
"79","Aldeia","enm1ct","15","F","59.8","1.64"
"80","Aldeia","enm1ct","15","F","",""
"81","Aldeia","enm1ct","15","M","",""
"82","Aldeia","enm1ct","14","M","",""
"83","Aldeia","enm1ct","15","F","54.6","1.56"
"84","Aldeia","enm1ct","14","M","67.5","1.78"
"85","Aldeia","enm1ct","15","F","74.7","1.71"
"86","Aldeia","enm1ct","15","M","91.6","1.76"
"87","Aldeia","enm1ct","15","M","",""
"88","Aldeia","enm1ct","15","F","60.6","1.61"
"89","Aldeia","enm1ct","15","M","52.6","1.81"
"90","Aldeia","pjd1at","15","M","",""
"91","Aldeia","pjd1at","15","F","36.3","1.54"
"92","Aldeia","pjd1at","15","F","",""
"93","Aldeia","pjd1at","15","M","66.3","1.85"
"94","Aldeia","pjd1at","15","M","48","1.68"
"95","Aldeia","pjd1at","15","M","64.1","1.73"
"96","Aldeia","pjd1at","15","M","53.4","1.73"
"97","Aldeia","pjd1at","15","M","55.6","1.68"
"98","Aldeia","pjd1at","15","M","69.4","1.72"
"99","Aldeia","pjd1at","15","M","58.1","1.76"
"100","Aldeia","pjd1at","15","F","",""
"101","Aldeia","pjd1at","15","M","",""
"102","Aldeia","pjd1at","15","M","72.7","1.86"
"103","Aldeia","pjd1at","15","F","",""
"104","Aldeia","pjd1at","15","M","71.7","1.77"
"105","Aldeia","pjd1at","15","F","52.4","1.57"
"106","Aldeia","pjd1at","15","M","",""
"107","Aldeia","pjd1at","16","M","81","1.72"
"108","Aldeia","pjd1at","14","M","58.8","1.72"
"109","Aldeia","pjd1at","15","M","",""
"110","Aldeia","pjd1at","15","M","71.7","1.75"
